SellerID,GUID,Date,Reference,Customer_Code,Name,Physical_Address1,Physical_Address2,Physical_Address3,Physical_Address4,Telephone,Stock_Code,Description,Price_Ex_Vat,Quantity,RepCode,ProductBarCodeID
VILJOEN,0,2026-01-29,IN-431626,P868,SPAR WARMBAD (7 DAE EFT),P. O. Box 564,Bela Bela,,53 Chris Hani Drive  Bela Bela 0480,014 736 2908 LIZE,BUN001,Bundaberg Ginger Beer 24x375ml,460.0,2.0,9,
VILJOEN,0,2026-01-29,IN-431626,P868,SPAR WARMBAD (7 DAE EFT),P. O. Box 564,Bela Bela,,53 Chris Hani Drive  Bela Bela 0480,014 736 2908 LIZE,SWI012,Switch G/Fruit Naartjie VIT C 24x500ml,184.35,15.0,9,
VILJOEN,0,2026-01-29,IN-431627,P3900,MADELEINE GROBLER,19 RISSIK STREET,(MAZDA BUILDING),,19 RISSIK STREET POLOKWANE,071 961 6645,W130,Vuka Still 24x500ml,91.3,2.0,1,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,SQ002,Squeeze-Mee Strawberry 40x130ml,298.7,1.0,17,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,SQ003,Squeeze-Mee Bubblegum 40x130ml,298.7,1.0,17,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,TROPPOP40,Troppi Pops Pea/Apri 4x(10x200ml),104.35,3.0,17,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,TROPPOP41,Troppi Pops Litchi 4x(10x200ml),104.35,3.0,17,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,TROPPOP42,Troppi Pops Mango 4x(10x200ml),104.35,3.0,17,
VILJOEN,0,2026-01-29,IN-431628,P3919,NESLION PRODUCTION  (CAD),P.O. BOX 336,STEELPOORT,,SHOP 10 BLOCK 5 STEELPOORT SHOPPING CENTRE STEELPOORT LIMPOPO,013 230 9672,TROPPOP43,Troppi Pops Guava 4x(10x200ml),104.35,3.0,17,
VILJOEN,0,2026-01-29,IN-431629,P1647,SPAR LOWVELD GROUP (602086)(30 DS - I),P.O. Box 33,Nelspruit,1200,,013 231 8156,SWI012,Switch G/Fruit Naartjie VIT C 24x500ml,192.17,1.0,17,
VILJOEN,0,2026-01-29,IN-431629,P1647,SPAR LOWVELD GROUP (602086)(30 DS - I),P.O. Box 33,Nelspruit,1200,,013 231 8156,SWI017,Switch Vit C Orange  24x500ml,192.17,1.0,17,
VILJOEN,0,2026-01-29,IN-431629,P1647,SPAR LOWVELD GROUP (602086)(30 DS - I),P.O. Box 33,Nelspruit,1200,,013 231 8156,SWI045,Switch Vita C Goji berry/Starfruit 24x500ml,192.17,1.0,17,
VILJOEN,0,2026-01-29,IN-431629,P1647,SPAR LOWVELD GROUP (602086)(30 DS - I),P.O. Box 33,Nelspruit,1200,,013 231 8156,SWI047,Switch Pink Lemonade 24x500ml,192.17,1.0,17,
VILJOEN,0,2026-01-29,IN-431630,SP067,SPAR NORTH RAND (11691),SPAR NORTHRAND (11691),P.O.BOX 528,CLAYVILLE,SPAR EXPRESS AT MOOKETSI (31102) BUFFELSBERG CENTRE 1 MAIN ROAD LIMPOPO VAT: 4260101482,,SQ001,Squeeze-Mee Chocolate 40x130ml,298.67,1.0,18,
VILJOEN,0,2026-01-29,IN-431630,SP067,SPAR NORTH RAND (11691),SPAR NORTHRAND (11691),P.O.BOX 528,CLAYVILLE,SPAR EXPRESS AT MOOKETSI (31102) BUFFELSBERG CENTRE 1 MAIN ROAD LIMPOPO VAT: 4260101482,,SQ002,Squeeze-Mee Strawberry 40x130ml,298.67,1.0,18,
VILJOEN,0,2026-01-29,IN-431630,SP067,SPAR NORTH RAND (11691),SPAR NORTHRAND (11691),P.O.BOX 528,CLAYVILLE,SPAR EXPRESS AT MOOKETSI (31102) BUFFELSBERG CENTRE 1 MAIN ROAD LIMPOPO VAT: 4260101482,,SQ003,Squeeze-Mee Bubblegum 40x130ml,298.67,1.0,18,
VILJOEN,0,2026-01-29,IN-431630,SP067,SPAR NORTH RAND (11691),SPAR NORTHRAND (11691),P.O.BOX 528,CLAYVILLE,SPAR EXPRESS AT MOOKETSI (31102) BUFFELSBERG CENTRE 1 MAIN ROAD LIMPOPO VAT: 4260101482,,SQ004,Squeeze-Mee Vanilla 40x130ml,298.67,1.0,18,
VILJOEN,0,2026-01-29,IN-431631,P424,ELTZUR (PTY)LTD (CAD),POSTNET SUITE 12,P/BAG X20097,LYDENBURG,STEELPOORT PRIMARY SCHOOL KIOSK STEELPOORT,082 921 1162,TROPPOP41,Troppi Pops Litchi 4x(10x200ml),104.35,3.0,17,
VILJOEN,0,2026-01-29,IN-431631,P424,ELTZUR (PTY)LTD (CAD),POSTNET SUITE 12,P/BAG X20097,LYDENBURG,STEELPOORT PRIMARY SCHOOL KIOSK STEELPOORT,082 921 1162,TROPPOP42,Troppi Pops Mango 4x(10x200ml),104.35,1.0,17,
VILJOEN,0,2026-01-29,IN-431632,P3982,BA TAU INVESTMENTS (CAD),6 KERK STR,POLOKWANE,,C/O D2537&D4140 FRAKFAT FARM BURGERSFORT,082 424 3251,B012874,Maynards Yoghurt Gums 24x60g NEW,258.13,1.0,17,
VILJOEN,0,2026-01-29,IN-431632,P3982,BA TAU INVESTMENTS (CAD),6 KERK STR,POLOKWANE,,C/O D2537&D4140 FRAKFAT FARM BURGERSFORT,082 424 3251,B3155,Beacon Slab Milk 12x80g,175.3,1.0,17,
VILJOEN,0,2026-01-29,IN-431632,P3982,BA TAU INVESTMENTS (CAD),6 KERK STR,POLOKWANE,,C/O D2537&D4140 FRAKFAT FARM BURGERSFORT,082 424 3251,B3156,Beacon Slab Hazel Heaven 12x80g,175.3,1.0,17,
VILJOEN,0,2026-01-29,IN-431632,P3982,BA TAU INVESTMENTS (CAD),6 KERK STR,POLOKWANE,,C/O D2537&D4140 FRAKFAT FARM BURGERSFORT,082 424 3251,C677146,Cadbury Mint Crisp Slab 80g 1x12,235.73,1.0,17,
VILJOEN,0,2026-01-29,IN-431633,P3982,BA TAU INVESTMENTS (CAD),6 KERK STR,POLOKWANE,,C/O D2537&D4140 FRAKFAT FARM BURGERSFORT,082 424 3251,QU702,aQuelle Naartjie 6x1.5lt,79.8,1.0,17,
